Id,Genre
0,Experimental
1,Pop
2,International
3,Electronic
4,Electronic
5,International
6,Experimental
7,Pop
8,Pop
9,Pop
10,Rock
11,International
12,Experimental
13,Rock
14,Electronic
15,Hip-Hop
16,Electronic
17,Experimental
18,Rock
19,International
20,Rock
21,Experimental
22,Experimental
23,Rock
24,Folk
25,Hip-Hop
26,Electronic
27,Experimental
28,Experimental
29,Electronic
30,International
31,Hip-Hop
32,International
33,Experimental
34,Rock
35,International
36,Instrumental
37,Electronic
38,Pop
39,International
40,Experimental
41,Pop
42,Electronic
43,Hip-Hop
44,Pop
45,Rock
46,Folk
47,Experimental
48,Experimental
49,Electronic
50,Pop
51,Electronic
52,Instrumental
53,Instrumental
54,Experimental
55,Hip-Hop
56,Electronic
57,Pop
58,Rock
59,Pop
60,Instrumental
61,Pop
62,Pop
63,Electronic
64,Experimental
65,Instrumental
66,International
67,International
68,Experimental
69,Instrumental
70,Electronic
71,Folk
72,Folk
73,International
74,Instrumental
75,Experimental
76,Experimental
77,Instrumental
78,Electronic
79,Electronic
80,Instrumental
81,Rock
82,Experimental
83,Folk
84,International
85,International
86,Electronic
87,Rock
88,Folk
89,Experimental
90,Electronic
91,Hip-Hop
92,Hip-Hop
93,Instrumental
94,Experimental
95,Experimental
96,Experimental
97,Instrumental
98,Instrumental
99,Pop
100,Rock
101,Experimental
102,Experimental
103,Folk
104,Rock
105,Hip-Hop
106,Folk
107,International
108,Electronic
109,Pop
110,Experimental
111,Folk
112,Experimental
113,Pop
114,Hip-Hop
115,Folk
116,Experimental
117,Electronic
118,Experimental
119,International
120,International
121,Instrumental
122,Hip-Hop
123,Experimental
124,Folk
125,Electronic
126,Instrumental
127,International
128,Folk
129,Rock
130,Experimental
131,Folk
132,Rock
133,Pop
134,Electronic
135,Folk
136,Pop
137,International
138,International
139,Experimental
140,Instrumental
141,Hip-Hop
142,Experimental
143,Folk
144,Pop
145,Experimental
146,Pop
147,International
148,Instrumental
149,Pop
150,International
151,Folk
152,International
153,Electronic
154,Folk
155,Experimental
156,Electronic
157,Folk
158,Hip-Hop
159,International
160,Hip-Hop
161,Experimental
162,Rock
163,Electronic
164,Experimental
165,Experimental
166,Experimental
167,Instrumental
168,Instrumental
169,Experimental
170,International
171,Hip-Hop
172,Experimental
173,Instrumental
174,International
175,Hip-Hop
176,Instrumental
177,Folk
178,Pop
179,Instrumental
180,Hip-Hop
181,Rock
182,Electronic
183,Rock
184,Electronic
185,Folk
186,Experimental
187,International
188,Electronic
189,Hip-Hop
190,Experimental
191,Rock
192,Rock
193,Pop
194,Folk
195,International
